2025-01-26 12:30:24,051 - dqn - INFO - Finished episode 80; total score 80; avg score 169; epsilon 0.6696478205
2025-01-26 12:30:27,130 - dqn - INFO - Finished episode 81; total score 190; avg score 170; epsilon 0.6662995814
2025-01-26 12:30:36,807 - dqn - INFO - Finished episode 82; total score 225; avg score 170; epsilon 0.6629680835
2025-01-26 12:30:45,348 - dqn - INFO - Finished episode 83; total score 315; avg score 172; epsilon 0.6596532430
2025-01-26 12:30:51,393 - dqn - INFO - Finished episode 84; total score 20; avg score 170; epsilon 0.6563549768
2025-01-26 12:31:01,437 - dqn - INFO - Finished episode 85; total score 70; avg score 169; epsilon 0.6530732019
2025-01-26 12:31:07,287 - dqn - INFO - Finished episode 86; total score 75; avg score 168; epsilon 0.6498078359
2025-01-26 12:31:17,839 - dqn - INFO - Finished episode 87; total score 205; avg score 168; epsilon 0.6465587968
2025-01-26 12:31:25,665 - dqn - INFO - Finished episode 88; total score 140; avg score 168; epsilon 0.6433260028
2025-01-26 12:31:32,498 - dqn - INFO - Finished episode 89; total score 170; avg score 168; epsilon 0.6401093728
2025-01-26 12:31:42,628 - dqn - INFO - Finished episode 90; total score 500; avg score 172; epsilon 0.6369088259
2025-01-26 12:31:50,847 - dqn - INFO - Finished episode 91; total score 235; avg score 172; epsilon 0.6337242818
2025-01-26 12:32:05,335 - dqn - INFO - Finished episode 92; total score 370; avg score 174; epsilon 0.6305556604
2025-01-26 12:32:15,654 - dqn - INFO - Finished episode 93; total score 360; avg score 176; epsilon 0.6274028821
2025-01-26 12:32:20,902 - dqn - INFO - Finished episode 94; total score 60; avg score 175; epsilon 0.6242658676
2025-01-26 12:32:28,087 - dqn - INFO - Finished episode 95; total score 270; avg score 176; epsilon 0.6211445383
2025-01-26 12:32:34,155 - dqn - INFO - Finished episode 96; total score 155; avg score 176; epsilon 0.6180388156
2025-01-26 12:32:39,140 - dqn - INFO - Finished episode 97; total score 185; avg score 176; epsilon 0.6149486215
2025-01-26 12:32:45,737 - dqn - INFO - Finished episode 98; total score 125; avg score 176; epsilon 0.6118738784
2025-01-26 12:32:51,377 - dqn - INFO - Finished episode 99; total score 110; avg score 175; epsilon 0.6088145090
2025-01-26 12:33:00,890 - dqn - INFO - Finished episode 100; total score 120; avg score 174; epsilon 0.6057704365
2025-01-26 12:33:08,540 - dqn - INFO - Finished episode 101; total score 150; avg score 174; epsilon 0.6027415843
2025-01-26 12:33:21,569 - dqn - INFO - Finished episode 102; total score 350; avg score 176; epsilon 0.5997278764
2025-01-26 12:33:30,382 - dqn - INFO - Finished episode 103; total score 95; avg score 175; epsilon 0.5967292370
2025-01-26 12:33:41,736 - dqn - INFO - Finished episode 104; total score 180; avg score 175; epsilon 0.5937455908
2025-01-26 12:33:48,508 - dqn - INFO - Finished episode 105; total score 40; avg score 174; epsilon 0.5907768629
2025-01-26 12:34:03,931 - dqn - INFO - Finished episode 106; total score 205; avg score 174; epsilon 0.5878229786
2025-01-26 12:34:10,454 - dqn - INFO - Finished episode 107; total score 25; avg score 173; epsilon 0.5848838637
2025-01-26 12:34:18,343 - dqn - INFO - Finished episode 108; total score 70; avg score 172; epsilon 0.5819594443
2025-01-26 12:34:27,539 - dqn - INFO - Finished episode 109; total score 135; avg score 171; epsilon 0.5790496471
2025-01-26 12:34:37,147 - dqn - INFO - Finished episode 110; total score 165; avg score 171; epsilon 0.5761543989
2025-01-26 12:34:53,338 - dqn - INFO - Finished episode 111; total score 215; avg score 172; epsilon 0.5732736269
2025-01-26 12:35:01,766 - dqn - INFO - Finished episode 112; total score 115; avg score 171; epsilon 0.5704072588
2025-01-26 12:35:10,837 - dqn - INFO - Finished episode 113; total score 35; avg score 170; epsilon 0.5675552225
2025-01-26 12:35:20,661 - dqn - INFO - Finished episode 114; total score 180; avg score 170; epsilon 0.5647174463
2025-01-26 12:35:27,226 - dqn - INFO - Finished episode 115; total score 160; avg score 170; epsilon 0.5618938591
2025-01-26 12:35:37,125 - dqn - INFO - Finished episode 116; total score 120; avg score 170; epsilon 0.5590843898
2025-01-26 12:35:43,077 - dqn - INFO - Finished episode 117; total score 85; avg score 169; epsilon 0.5562889679
2025-01-26 12:35:56,894 - dqn - INFO - Finished episode 118; total score 95; avg score 168; epsilon 0.5535075230
2025-01-26 12:36:08,916 - dqn - INFO - Finished episode 119; total score 125; avg score 168; epsilon 0.5507399854
2025-01-26 12:36:22,609 - dqn - INFO - Finished episode 120; total score 375; avg score 170; epsilon 0.5479862855
2025-01-26 12:36:26,342 - dqn - INFO - Finished episode 121; total score 110; avg score 169; epsilon 0.5452463541
2025-01-26 12:36:33,059 - dqn - INFO - Finished episode 122; total score 80; avg score 168; epsilon 0.5425201223
2025-01-26 12:36:37,548 - dqn - INFO - Finished episode 123; total score 40; avg score 167; epsilon 0.5398075217
2025-01-26 12:36:46,740 - dqn - INFO - Finished episode 124; total score 115; avg score 167; epsilon 0.5371084841
2025-01-26 12:37:01,296 - dqn - INFO - Finished episode 125; total score 250; avg score 168; epsilon 0.5344229417
2025-01-26 12:37:08,509 - dqn - INFO - Finished episode 126; total score 150; avg score 168; epsilon 0.5317508269
2025-01-26 12:37:15,969 - dqn - INFO - Finished episode 127; total score 85; avg score 167; epsilon 0.5290920728
2025-01-26 12:37:22,628 - dqn - INFO - Finished episode 128; total score 65; avg score 166; epsilon 0.5264466124
2025-01-26 12:37:43,341 - dqn - INFO - Finished episode 129; total score 605; avg score 169; epsilon 0.5238143794
2025-01-26 12:37:52,809 - dqn - INFO - Finished episode 130; total score 110; avg score 169; epsilon 0.5211953075
2025-01-26 12:38:02,368 - dqn - INFO - Finished episode 131; total score 90; avg score 168; epsilon 0.5185893309
2025-01-26 12:38:12,763 - dqn - INFO - Finished episode 132; total score 90; avg score 168; epsilon 0.5159963843
2025-01-26 12:38:29,923 - dqn - INFO - Finished episode 133; total score 290; avg score 169; epsilon 0.5134164024
