2025-01-26 17:36:28,673 - dqn - INFO - Finished episode 97; total score 60; avg score 164; epsilon 0.6149486215
2025-01-26 17:36:55,308 - dqn - INFO - Finished episode 98; total score 115; avg score 163; epsilon 0.6118738784
2025-01-26 17:37:31,951 - dqn - INFO - Finished episode 99; total score 155; avg score 163; epsilon 0.6088145090
2025-01-26 17:37:51,814 - dqn - INFO - Finished episode 100; total score 120; avg score 163; epsilon 0.6057704365
2025-01-26 17:38:10,145 - dqn - INFO - Finished episode 101; total score 30; avg score 161; epsilon 0.6027415843
2025-01-26 17:38:33,457 - dqn - INFO - Finished episode 102; total score 260; avg score 162; epsilon 0.5997278764
2025-01-26 17:38:54,403 - dqn - INFO - Finished episode 103; total score 180; avg score 163; epsilon 0.5967292370
2025-01-26 17:39:20,539 - dqn - INFO - Finished episode 104; total score 475; avg score 166; epsilon 0.5937455908
2025-01-26 17:39:48,705 - dqn - INFO - Finished episode 105; total score 225; avg score 166; epsilon 0.5907768629
2025-01-26 17:40:05,545 - dqn - INFO - Finished episode 106; total score 110; avg score 166; epsilon 0.5878229786
2025-01-26 17:40:21,929 - dqn - INFO - Finished episode 107; total score 110; avg score 165; epsilon 0.5848838637
2025-01-26 17:40:34,380 - dqn - INFO - Finished episode 108; total score 70; avg score 164; epsilon 0.5819594443
2025-01-26 17:41:04,641 - dqn - INFO - Finished episode 109; total score 330; avg score 166; epsilon 0.5790496471
2025-01-26 17:41:24,373 - dqn - INFO - Finished episode 110; total score 165; avg score 166; epsilon 0.5761543989
2025-01-26 17:41:43,965 - dqn - INFO - Finished episode 111; total score 390; avg score 168; epsilon 0.5732736269
2025-01-26 17:42:07,109 - dqn - INFO - Finished episode 112; total score 290; avg score 169; epsilon 0.5704072588
2025-01-26 17:42:27,097 - dqn - INFO - Finished episode 113; total score 185; avg score 169; epsilon 0.5675552225
2025-01-26 17:42:43,961 - dqn - INFO - Finished episode 114; total score 135; avg score 169; epsilon 0.5647174463
2025-01-26 17:43:05,993 - dqn - INFO - Finished episode 115; total score 155; avg score 168; epsilon 0.5618938591
2025-01-26 17:43:27,737 - dqn - INFO - Finished episode 116; total score 225; avg score 169; epsilon 0.5590843898
2025-01-26 17:43:50,757 - dqn - INFO - Finished episode 117; total score 215; avg score 169; epsilon 0.5562889679
2025-01-26 17:44:12,029 - dqn - INFO - Finished episode 118; total score 210; avg score 170; epsilon 0.5535075230
2025-01-26 17:44:38,921 - dqn - INFO - Finished episode 119; total score 285; avg score 171; epsilon 0.5507399854
2025-01-26 17:44:59,189 - dqn - INFO - Finished episode 120; total score 180; avg score 171; epsilon 0.5479862855
2025-01-26 17:45:07,837 - dqn - INFO - Finished episode 121; total score 75; avg score 170; epsilon 0.5452463541
2025-01-26 17:45:29,685 - dqn - INFO - Finished episode 122; total score 180; avg score 170; epsilon 0.5425201223
2025-01-26 17:45:50,845 - dqn - INFO - Finished episode 123; total score 180; avg score 170; epsilon 0.5398075217
2025-01-26 17:46:10,317 - dqn - INFO - Finished episode 124; total score 185; avg score 170; epsilon 0.5371084841
2025-01-26 17:46:31,606 - dqn - INFO - Finished episode 125; total score 210; avg score 171; epsilon 0.5344229417
2025-01-26 17:46:58,400 - dqn - INFO - Finished episode 126; total score 225; avg score 171; epsilon 0.5317508269
2025-01-26 17:47:19,094 - dqn - INFO - Finished episode 127; total score 270; avg score 172; epsilon 0.5290920728
2025-01-26 17:47:40,485 - dqn - INFO - Finished episode 128; total score 155; avg score 172; epsilon 0.5264466124
2025-01-26 17:48:01,025 - dqn - INFO - Finished episode 129; total score 150; avg score 171; epsilon 0.5238143794
2025-01-26 17:48:21,409 - dqn - INFO - Finished episode 130; total score 135; avg score 171; epsilon 0.5211953075
2025-01-26 17:48:34,664 - dqn - INFO - Finished episode 131; total score 115; avg score 171; epsilon 0.5185893309
2025-01-26 17:48:54,258 - dqn - INFO - Finished episode 132; total score 155; avg score 171; epsilon 0.5159963843
2025-01-26 17:49:15,241 - dqn - INFO - Finished episode 133; total score 165; avg score 171; epsilon 0.5134164024
2025-01-26 17:49:42,501 - dqn - INFO - Finished episode 134; total score 260; avg score 171; epsilon 0.5108493204
2025-01-26 17:50:03,002 - dqn - INFO - Finished episode 135; total score 155; avg score 171; epsilon 0.5082950738
2025-01-26 17:50:16,093 - dqn - INFO - Finished episode 136; total score 110; avg score 171; epsilon 0.5057535984
2025-01-26 17:50:32,093 - dqn - INFO - Finished episode 137; total score 110; avg score 170; epsilon 0.5032248304
2025-01-26 17:50:53,053 - dqn - INFO - Finished episode 138; total score 210; avg score 171; epsilon 0.5007087062
2025-01-26 17:51:01,894 - dqn - INFO - Finished episode 139; total score 15; avg score 169; epsilon 0.4982051627
2025-01-26 17:51:18,802 - dqn - INFO - Finished episode 140; total score 90; avg score 169; epsilon 0.4957141369
2025-01-26 17:51:39,485 - dqn - INFO - Finished episode 141; total score 395; avg score 170; epsilon 0.4932355662
2025-01-26 17:52:12,957 - dqn - INFO - Finished episode 142; total score 395; avg score 172; epsilon 0.4907693884
2025-01-26 17:52:31,467 - dqn - INFO - Finished episode 143; total score 80; avg score 171; epsilon 0.4883155414
2025-01-26 17:52:53,433 - dqn - INFO - Finished episode 144; total score 255; avg score 172; epsilon 0.4858739637
2025-01-26 17:53:13,047 - dqn - INFO - Finished episode 145; total score 240; avg score 172; epsilon 0.4834445939
2025-01-26 17:53:34,433 - dqn - INFO - Finished episode 146; total score 325; avg score 173; epsilon 0.4810273709
2025-01-26 17:53:53,653 - dqn - INFO - Finished episode 147; total score 440; avg score 175; epsilon 0.4786222341
2025-01-26 17:54:02,054 - dqn - INFO - Finished episode 148; total score 80; avg score 175; epsilon 0.4762291229
2025-01-26 17:54:25,744 - dqn - INFO - Finished episode 149; total score 640; avg score 178; epsilon 0.4738479773
2025-01-26 17:54:37,213 - dqn - INFO - Finished episode 150; total score 105; avg score 177; epsilon 0.4714787374
2025-01-26 17:54:46,742 - dqn - INFO - Finished episode 151; total score 55; avg score 176; epsilon 0.4691213437
2025-01-26 17:55:01,997 - dqn - INFO - Finished episode 152; total score 155; avg score 176; epsilon 0.4667757370
2025-01-26 17:55:28,127 - dqn - INFO - Finished episode 153; total score 330; avg score 177; epsilon 0.4644418583
2025-01-26 17:55:49,984 - dqn - INFO - Finished episode 154; total score 205; avg score 177; epsilon 0.4621196490
2025-01-26 17:56:04,995 - dqn - INFO - Finished episode 155; total score 190; avg score 178; epsilon 0.4598090508
2025-01-26 17:56:32,959 - dqn - INFO - Finished episode 156; total score 340; avg score 179; epsilon 0.4575100055
2025-01-26 17:56:46,684 - dqn - INFO - Finished episode 157; total score 105; avg score 178; epsilon 0.4552224555
2025-01-26 17:57:16,598 - dqn - INFO - Finished episode 158; total score 230; avg score 178; epsilon 0.4529463432
2025-01-26 17:57:23,792 - dqn - INFO - Finished episode 159; total score 105; avg score 178; epsilon 0.4506816115
2025-01-26 17:57:34,109 - dqn - INFO - Finished episode 160; total score 95; avg score 177; epsilon 0.4484282035
2025-01-26 17:57:41,999 - dqn - INFO - Finished episode 161; total score 65; avg score 177; epsilon 0.4461860624
2025-01-26 17:58:01,019 - dqn - INFO - Finished episode 162; total score 210; avg score 177; epsilon 0.4439551321
2025-01-26 17:58:23,871 - dqn - INFO - Finished episode 163; total score 130; avg score 177; epsilon 0.4417353565
2025-01-26 17:58:51,867 - dqn - INFO - Finished episode 164; total score 590; avg score 179; epsilon 0.4395266797
2025-01-26 17:59:14,000 - dqn - INFO - Finished episode 165; total score 270; avg score 180; epsilon 0.4373290463
2025-01-26 17:59:27,996 - dqn - INFO - Finished episode 166; total score 120; avg score 179; epsilon 0.4351424011
2025-01-26 17:59:49,809 - dqn - INFO - Finished episode 167; total score 220; avg score 180; epsilon 0.4329666891
2025-01-26 18:00:12,315 - dqn - INFO - Finished episode 168; total score 460; avg score 181; epsilon 0.4308018556
2025-01-26 18:00:28,694 - dqn - INFO - Finished episode 169; total score 190; avg score 181; epsilon 0.4286478463
2025-01-26 18:00:37,992 - dqn - INFO - Finished episode 170; total score 110; avg score 181; epsilon 0.4265046071
2025-01-26 18:00:56,762 - dqn - INFO - Finished episode 171; total score 290; avg score 182; epsilon 0.4243720841
2025-01-26 18:01:13,586 - dqn - INFO - Finished episode 172; total score 135; avg score 181; epsilon 0.4222502236
2025-01-26 18:01:40,739 - dqn - INFO - Finished episode 173; total score 230; avg score 182; epsilon 0.4201389725
2025-01-26 18:01:57,587 - dqn - INFO - Finished episode 174; total score 180; avg score 182; epsilon 0.4180382777
2025-01-26 18:02:11,071 - dqn - INFO - Finished episode 175; total score 110; avg score 181; epsilon 0.4159480863
2025-01-26 18:02:28,041 - dqn - INFO - Finished episode 176; total score 170; avg score 181; epsilon 0.4138683458
2025-01-26 18:02:42,094 - dqn - INFO - Finished episode 177; total score 110; avg score 181; epsilon 0.4117990041
2025-01-26 18:02:59,409 - dqn - INFO - Finished episode 178; total score 225; avg score 181; epsilon 0.4097400091
2025-01-26 18:03:17,032 - dqn - INFO - Finished episode 179; total score 210; avg score 181; epsilon 0.4076913090
2025-01-26 18:03:40,691 - dqn - INFO - Finished episode 180; total score 290; avg score 182; epsilon 0.4056528525
2025-01-26 18:04:00,350 - dqn - INFO - Finished episode 181; total score 260; avg score 182; epsilon 0.4036245882
2025-01-26 18:04:17,032 - dqn - INFO - Finished episode 182; total score 410; avg score 183; epsilon 0.4016064653
2025-01-26 18:04:34,519 - dqn - INFO - Finished episode 183; total score 210; avg score 184; epsilon 0.3995984330
2025-01-26 18:04:57,268 - dqn - INFO - Finished episode 184; total score 310; avg score 184; epsilon 0.3976004408
