2025-01-27 21:05:34,651 - dqn - INFO - Finished episode 81; total score 140; avg score 152; epsilon 0.6662995814
2025-01-27 21:05:37,513 - dqn - INFO - Finished episode 82; total score 275; avg score 154; epsilon 0.6629680835
2025-01-27 21:05:39,779 - dqn - INFO - Finished episode 83; total score 195; avg score 154; epsilon 0.6596532430
2025-01-27 21:05:42,174 - dqn - INFO - Finished episode 84; total score 125; avg score 154; epsilon 0.6563549768
2025-01-27 21:05:44,599 - dqn - INFO - Finished episode 85; total score 140; avg score 154; epsilon 0.6530732019
2025-01-27 21:05:45,909 - dqn - INFO - Finished episode 86; total score 80; avg score 153; epsilon 0.6498078359
2025-01-27 21:05:48,084 - dqn - INFO - Finished episode 87; total score 120; avg score 152; epsilon 0.6465587968
2025-01-27 21:05:50,211 - dqn - INFO - Finished episode 88; total score 120; avg score 152; epsilon 0.6433260028
2025-01-27 21:05:53,189 - dqn - INFO - Finished episode 89; total score 185; avg score 152; epsilon 0.6401093728
2025-01-27 21:05:55,324 - dqn - INFO - Finished episode 90; total score 110; avg score 152; epsilon 0.6369088259
2025-01-27 21:05:56,722 - dqn - INFO - Finished episode 91; total score 55; avg score 151; epsilon 0.6337242818
2025-01-27 21:05:58,191 - dqn - INFO - Finished episode 92; total score 50; avg score 150; epsilon 0.6305556604
2025-01-27 21:06:00,559 - dqn - INFO - Finished episode 93; total score 110; avg score 149; epsilon 0.6274028821
2025-01-27 21:06:03,943 - dqn - INFO - Finished episode 94; total score 285; avg score 151; epsilon 0.6242658676
2025-01-27 21:06:05,678 - dqn - INFO - Finished episode 95; total score 105; avg score 150; epsilon 0.6211445383
2025-01-27 21:06:08,809 - dqn - INFO - Finished episode 96; total score 340; avg score 152; epsilon 0.6180388156
2025-01-27 21:06:11,919 - dqn - INFO - Finished episode 97; total score 135; avg score 152; epsilon 0.6149486215
2025-01-27 21:06:14,480 - dqn - INFO - Finished episode 98; total score 165; avg score 152; epsilon 0.6118738784
2025-01-27 21:06:17,060 - dqn - INFO - Finished episode 99; total score 260; avg score 153; epsilon 0.6088145090
2025-01-27 21:06:19,094 - dqn - INFO - Finished episode 100; total score 135; avg score 153; epsilon 0.6057704365
2025-01-27 21:06:22,248 - dqn - INFO - Finished episode 101; total score 245; avg score 154; epsilon 0.6027415843
2025-01-27 21:06:25,299 - dqn - INFO - Finished episode 102; total score 310; avg score 156; epsilon 0.5997278764
2025-01-27 21:06:28,575 - dqn - INFO - Finished episode 103; total score 180; avg score 156; epsilon 0.5967292370
2025-01-27 21:06:29,992 - dqn - INFO - Finished episode 104; total score 70; avg score 155; epsilon 0.5937455908
2025-01-27 21:06:31,657 - dqn - INFO - Finished episode 105; total score 150; avg score 155; epsilon 0.5907768629
2025-01-27 21:06:33,956 - dqn - INFO - Finished episode 106; total score 160; avg score 155; epsilon 0.5878229786
2025-01-27 21:06:36,149 - dqn - INFO - Finished episode 107; total score 135; avg score 155; epsilon 0.5848838637
2025-01-27 21:06:38,534 - dqn - INFO - Finished episode 108; total score 155; avg score 155; epsilon 0.5819594443
2025-01-27 21:06:42,578 - dqn - INFO - Finished episode 109; total score 625; avg score 159; epsilon 0.5790496471
2025-01-27 21:06:44,684 - dqn - INFO - Finished episode 110; total score 140; avg score 159; epsilon 0.5761543989
2025-01-27 21:06:48,196 - dqn - INFO - Finished episode 111; total score 420; avg score 161; epsilon 0.5732736269
2025-01-27 21:06:51,470 - dqn - INFO - Finished episode 112; total score 260; avg score 162; epsilon 0.5704072588
2025-01-27 21:06:55,364 - dqn - INFO - Finished episode 113; total score 390; avg score 164; epsilon 0.5675552225
2025-01-27 21:06:58,869 - dqn - INFO - Finished episode 114; total score 275; avg score 165; epsilon 0.5647174463
2025-01-27 21:07:00,543 - dqn - INFO - Finished episode 115; total score 75; avg score 164; epsilon 0.5618938591
2025-01-27 21:07:03,104 - dqn - INFO - Finished episode 116; total score 105; avg score 164; epsilon 0.5590843898
2025-01-27 21:07:05,532 - dqn - INFO - Finished episode 117; total score 90; avg score 163; epsilon 0.5562889679
2025-01-27 21:07:08,241 - dqn - INFO - Finished episode 118; total score 210; avg score 164; epsilon 0.5535075230
2025-01-27 21:07:12,018 - dqn - INFO - Finished episode 119; total score 305; avg score 165; epsilon 0.5507399854
2025-01-27 21:07:14,941 - dqn - INFO - Finished episode 120; total score 210; avg score 165; epsilon 0.5479862855
2025-01-27 21:07:17,312 - dqn - INFO - Finished episode 121; total score 210; avg score 166; epsilon 0.5452463541
2025-01-27 21:07:19,951 - dqn - INFO - Finished episode 122; total score 120; avg score 165; epsilon 0.5425201223
2025-01-27 21:07:21,688 - dqn - INFO - Finished episode 123; total score 40; avg score 164; epsilon 0.5398075217
2025-01-27 21:07:23,886 - dqn - INFO - Finished episode 124; total score 90; avg score 164; epsilon 0.5371084841
2025-01-27 21:07:26,959 - dqn - INFO - Finished episode 125; total score 345; avg score 165; epsilon 0.5344229417
2025-01-27 21:07:29,791 - dqn - INFO - Finished episode 126; total score 210; avg score 165; epsilon 0.5317508269
2025-01-27 21:07:31,997 - dqn - INFO - Finished episode 127; total score 120; avg score 165; epsilon 0.5290920728
2025-01-27 21:07:34,613 - dqn - INFO - Finished episode 128; total score 105; avg score 165; epsilon 0.5264466124
2025-01-27 21:07:37,350 - dqn - INFO - Finished episode 129; total score 210; avg score 165; epsilon 0.5238143794
2025-01-27 21:07:40,145 - dqn - INFO - Finished episode 130; total score 355; avg score 166; epsilon 0.5211953075
2025-01-27 21:07:41,638 - dqn - INFO - Finished episode 131; total score 25; avg score 165; epsilon 0.5185893309
2025-01-27 21:07:42,858 - dqn - INFO - Finished episode 132; total score 30; avg score 164; epsilon 0.5159963843
2025-01-27 21:07:44,428 - dqn - INFO - Finished episode 133; total score 50; avg score 163; epsilon 0.5134164024
2025-01-27 21:07:46,287 - dqn - INFO - Finished episode 134; total score 15; avg score 162; epsilon 0.5108493204
2025-01-27 21:07:49,904 - dqn - INFO - Finished episode 135; total score 205; avg score 163; epsilon 0.5082950738
2025-01-27 21:07:54,303 - dqn - INFO - Finished episode 136; total score 135; avg score 162; epsilon 0.5057535984
2025-01-27 21:07:57,932 - dqn - INFO - Finished episode 137; total score 185; avg score 163; epsilon 0.5032248304
2025-01-27 21:08:00,075 - dqn - INFO - Finished episode 138; total score 30; avg score 162; epsilon 0.5007087062
2025-01-27 21:08:04,714 - dqn - INFO - Finished episode 139; total score 355; avg score 163; epsilon 0.4982051627
2025-01-27 21:08:07,754 - dqn - INFO - Finished episode 140; total score 135; avg score 163; epsilon 0.4957141369
2025-01-27 21:08:10,278 - dqn - INFO - Finished episode 141; total score 155; avg score 163; epsilon 0.4932355662
2025-01-27 21:08:13,192 - dqn - INFO - Finished episode 142; total score 185; avg score 163; epsilon 0.4907693884
2025-01-27 21:08:18,929 - dqn - INFO - Finished episode 143; total score 535; avg score 165; epsilon 0.4883155414
2025-01-27 21:08:23,344 - dqn - INFO - Finished episode 144; total score 200; avg score 166; epsilon 0.4858739637
2025-01-27 21:08:27,464 - dqn - INFO - Finished episode 145; total score 120; avg score 165; epsilon 0.4834445939
2025-01-27 21:08:33,614 - dqn - INFO - Finished episode 146; total score 250; avg score 166; epsilon 0.4810273709
2025-01-27 21:08:36,673 - dqn - INFO - Finished episode 147; total score 95; avg score 166; epsilon 0.4786222341
2025-01-27 21:08:39,772 - dqn - INFO - Finished episode 148; total score 155; avg score 165; epsilon 0.4762291229
2025-01-27 21:08:45,493 - dqn - INFO - Finished episode 149; total score 320; avg score 166; epsilon 0.4738479773
2025-01-27 21:08:47,682 - dqn - INFO - Finished episode 150; total score 75; avg score 166; epsilon 0.4714787374
2025-01-27 21:08:51,987 - dqn - INFO - Finished episode 151; total score 210; avg score 166; epsilon 0.4691213437
2025-01-27 21:08:56,388 - dqn - INFO - Finished episode 152; total score 95; avg score 166; epsilon 0.4667757370
2025-01-27 21:09:00,202 - dqn - INFO - Finished episode 153; total score 235; avg score 166; epsilon 0.4644418583
2025-01-27 21:09:06,691 - dqn - INFO - Finished episode 154; total score 260; avg score 167; epsilon 0.4621196490
2025-01-27 21:09:10,876 - dqn - INFO - Finished episode 155; total score 105; avg score 166; epsilon 0.4598090508
2025-01-27 21:09:15,061 - dqn - INFO - Finished episode 156; total score 155; avg score 166; epsilon 0.4575100055
2025-01-27 21:09:18,807 - dqn - INFO - Finished episode 157; total score 145; avg score 166; epsilon 0.4552224555
2025-01-27 21:09:20,751 - dqn - INFO - Finished episode 158; total score 35; avg score 165; epsilon 0.4529463432
2025-01-27 21:09:25,646 - dqn - INFO - Finished episode 159; total score 260; avg score 166; epsilon 0.4506816115
2025-01-27 21:09:29,335 - dqn - INFO - Finished episode 160; total score 115; avg score 166; epsilon 0.4484282035
2025-01-27 21:09:33,767 - dqn - INFO - Finished episode 161; total score 210; avg score 166; epsilon 0.4461860624
2025-01-27 21:09:39,293 - dqn - INFO - Finished episode 162; total score 240; avg score 166; epsilon 0.4439551321
2025-01-27 21:09:43,624 - dqn - INFO - Finished episode 163; total score 120; avg score 166; epsilon 0.4417353565
2025-01-27 21:09:47,220 - dqn - INFO - Finished episode 164; total score 105; avg score 166; epsilon 0.4395266797
2025-01-27 21:09:51,316 - dqn - INFO - Finished episode 165; total score 155; avg score 166; epsilon 0.4373290463
2025-01-27 21:09:54,469 - dqn - INFO - Finished episode 166; total score 80; avg score 165; epsilon 0.4351424011
2025-01-27 21:10:03,949 - dqn - INFO - Finished episode 167; total score 245; avg score 166; epsilon 0.4329666891
2025-01-27 21:10:07,873 - dqn - INFO - Finished episode 168; total score 155; avg score 166; epsilon 0.4308018556
2025-01-27 21:10:11,926 - dqn - INFO - Finished episode 169; total score 135; avg score 165; epsilon 0.4286478463
2025-01-27 21:10:16,864 - dqn - INFO - Finished episode 170; total score 260; avg score 166; epsilon 0.4265046071
2025-01-27 21:10:19,972 - dqn - INFO - Finished episode 171; total score 65; avg score 165; epsilon 0.4243720841
2025-01-27 21:10:22,587 - dqn - INFO - Finished episode 172; total score 80; avg score 165; epsilon 0.4222502236
2025-01-27 21:10:26,928 - dqn - INFO - Finished episode 173; total score 210; avg score 165; epsilon 0.4201389725
2025-01-27 21:10:30,327 - dqn - INFO - Finished episode 174; total score 135; avg score 165; epsilon 0.4180382777
2025-01-27 21:10:33,643 - dqn - INFO - Finished episode 175; total score 110; avg score 165; epsilon 0.4159480863
2025-01-27 21:10:37,467 - dqn - INFO - Finished episode 176; total score 130; avg score 164; epsilon 0.4138683458
2025-01-27 21:10:42,609 - dqn - INFO - Finished episode 177; total score 320; avg score 165; epsilon 0.4117990041
2025-01-27 21:10:45,945 - dqn - INFO - Finished episode 178; total score 160; avg score 165; epsilon 0.4097400091
2025-01-27 21:10:50,130 - dqn - INFO - Finished episode 179; total score 150; avg score 165; epsilon 0.4076913090
2025-01-27 21:10:54,453 - dqn - INFO - Finished episode 180; total score 210; avg score 165; epsilon 0.4056528525
2025-01-27 21:10:57,247 - dqn - INFO - Finished episode 181; total score 30; avg score 165; epsilon 0.4036245882
2025-01-27 21:11:00,151 - dqn - INFO - Finished episode 182; total score 30; avg score 164; epsilon 0.4016064653
2025-01-27 21:11:03,078 - dqn - INFO - Finished episode 183; total score 45; avg score 163; epsilon 0.3995984330
2025-01-27 21:11:06,448 - dqn - INFO - Finished episode 184; total score 150; avg score 163; epsilon 0.3976004408
2025-01-27 21:11:09,511 - dqn - INFO - Finished episode 185; total score 105; avg score 163; epsilon 0.3956124386
2025-01-27 21:11:15,958 - dqn - INFO - Finished episode 186; total score 220; avg score 163; epsilon 0.3936343764
2025-01-27 21:11:18,176 - dqn - INFO - Finished episode 187; total score 75; avg score 163; epsilon 0.3916662045
2025-01-27 21:11:21,331 - dqn - INFO - Finished episode 188; total score 95; avg score 162; epsilon 0.3897078735
2025-01-27 21:11:25,273 - dqn - INFO - Finished episode 189; total score 210; avg score 163; epsilon 0.3877593341
2025-01-27 21:11:28,333 - dqn - INFO - Finished episode 190; total score 125; avg score 162; epsilon 0.3858205375
2025-01-27 21:11:31,536 - dqn - INFO - Finished episode 191; total score 170; avg score 162; epsilon 0.3838914348
2025-01-27 21:11:35,163 - dqn - INFO - Finished episode 192; total score 175; avg score 163; epsilon 0.3819719776
2025-01-27 21:11:38,175 - dqn - INFO - Finished episode 193; total score 190; avg score 163; epsilon 0.3800621177
2025-01-27 21:11:44,594 - dqn - INFO - Finished episode 194; total score 220; avg score 163; epsilon 0.3781618071
2025-01-27 21:11:48,130 - dqn - INFO - Finished episode 195; total score 120; avg score 163; epsilon 0.3762709981
2025-01-27 21:11:51,466 - dqn - INFO - Finished episode 196; total score 215; avg score 163; epsilon 0.3743896431
2025-01-27 21:11:53,341 - dqn - INFO - Finished episode 197; total score 75; avg score 163; epsilon 0.3725176949
2025-01-27 21:11:56,726 - dqn - INFO - Finished episode 198; total score 175; avg score 163; epsilon 0.3706551064
2025-01-27 21:12:00,097 - dqn - INFO - Finished episode 199; total score 160; avg score 163; epsilon 0.3688018309
2025-01-27 21:12:07,441 - dqn - INFO - Finished episode 200; total score 210; avg score 163; epsilon 0.3669578217
2025-01-27 21:12:13,103 - dqn - INFO - Finished episode 201; total score 245; avg score 163; epsilon 0.3651230326
2025-01-27 21:12:20,395 - dqn - INFO - Finished episode 202; total score 455; avg score 165; epsilon 0.3632974175
2025-01-27 21:12:23,576 - dqn - INFO - Finished episode 203; total score 165; avg score 165; epsilon 0.3614809304
2025-01-27 21:12:27,140 - dqn - INFO - Finished episode 204; total score 145; avg score 165; epsilon 0.3596735257
2025-01-27 21:12:31,816 - dqn - INFO - Finished episode 205; total score 180; avg score 165; epsilon 0.3578751581
2025-01-27 21:12:34,773 - dqn - INFO - Finished episode 206; total score 100; avg score 164; epsilon 0.3560857823
2025-01-27 21:12:39,952 - dqn - INFO - Finished episode 207; total score 260; avg score 165; epsilon 0.3543053534
2025-01-27 21:12:42,229 - dqn - INFO - Finished episode 208; total score 35; avg score 164; epsilon 0.3525338266
2025-01-27 21:12:48,377 - dqn - INFO - Finished episode 209; total score 320; avg score 165; epsilon 0.3507711575
2025-01-27 21:12:51,968 - dqn - INFO - Finished episode 210; total score 120; avg score 165; epsilon 0.3490173017
2025-01-27 21:12:58,301 - dqn - INFO - Finished episode 211; total score 500; avg score 166; epsilon 0.3472722152
2025-01-27 21:13:02,446 - dqn - INFO - Finished episode 212; total score 410; avg score 167; epsilon 0.3455358541
2025-01-27 21:13:06,867 - dqn - INFO - Finished episode 213; total score 210; avg score 168; epsilon 0.3438081748
2025-01-27 21:13:12,465 - dqn - INFO - Finished episode 214; total score 335; avg score 168; epsilon 0.3420891340
2025-01-27 21:13:17,344 - dqn - INFO - Finished episode 215; total score 210; avg score 169; epsilon 0.3403786883
2025-01-27 21:13:21,437 - dqn - INFO - Finished episode 216; total score 180; avg score 169; epsilon 0.3386767949
2025-01-27 21:13:27,565 - dqn - INFO - Finished episode 217; total score 220; avg score 169; epsilon 0.3369834109
2025-01-27 21:13:32,156 - dqn - INFO - Finished episode 218; total score 320; avg score 170; epsilon 0.3352984938
2025-01-27 21:13:39,176 - dqn - INFO - Finished episode 219; total score 345; avg score 170; epsilon 0.3336220014
2025-01-27 21:13:43,249 - dqn - INFO - Finished episode 220; total score 165; avg score 170; epsilon 0.3319538914
2025-01-27 21:13:49,345 - dqn - INFO - Finished episode 221; total score 605; avg score 172; epsilon 0.3302941219
2025-01-27 21:13:53,162 - dqn - INFO - Finished episode 222; total score 65; avg score 172; epsilon 0.3286426513
2025-01-27 21:13:55,374 - dqn - INFO - Finished episode 223; total score 40; avg score 171; epsilon 0.3269994380
2025-01-27 21:14:00,075 - dqn - INFO - Finished episode 224; total score 300; avg score 172; epsilon 0.3253644408
2025-01-27 21:14:05,743 - dqn - INFO - Finished episode 225; total score 430; avg score 173; epsilon 0.3237376186
2025-01-27 21:14:12,178 - dqn - INFO - Finished episode 226; total score 305; avg score 174; epsilon 0.3221189305
2025-01-27 21:14:17,606 - dqn - INFO - Finished episode 227; total score 575; avg score 175; epsilon 0.3205083359
2025-01-27 21:14:21,357 - dqn - INFO - Finished episode 228; total score 235; avg score 176; epsilon 0.3189057942
2025-01-27 21:14:27,646 - dqn - INFO - Finished episode 229; total score 420; avg score 177; epsilon 0.3173112652
2025-01-27 21:14:33,956 - dqn - INFO - Finished episode 230; total score 235; avg score 177; epsilon 0.3157247089
2025-01-27 21:14:37,541 - dqn - INFO - Finished episode 231; total score 125; avg score 177; epsilon 0.3141460854
2025-01-27 21:14:41,383 - dqn - INFO - Finished episode 232; total score 130; avg score 176; epsilon 0.3125753549
2025-01-27 21:14:47,846 - dqn - INFO - Finished episode 233; total score 710; avg score 179; epsilon 0.3110124782
2025-01-27 21:14:55,958 - dqn - INFO - Finished episode 234; total score 505; avg score 180; epsilon 0.3094574158
2025-01-27 21:14:59,954 - dqn - INFO - Finished episode 235; total score 225; avg score 180; epsilon 0.3079101287
2025-01-27 21:15:04,195 - dqn - INFO - Finished episode 236; total score 115; avg score 180; epsilon 0.3063705781
2025-01-27 21:15:08,686 - dqn - INFO - Finished episode 237; total score 205; avg score 180; epsilon 0.3048387252
2025-01-27 21:15:17,171 - dqn - INFO - Finished episode 238; total score 330; avg score 181; epsilon 0.3033145315
2025-01-27 21:15:23,337 - dqn - INFO - Finished episode 239; total score 430; avg score 182; epsilon 0.3017979589
2025-01-27 21:15:31,278 - dqn - INFO - Finished episode 240; total score 260; avg score 182; epsilon 0.3002889691
2025-01-27 21:15:37,295 - dqn - INFO - Finished episode 241; total score 350; avg score 183; epsilon 0.2987875242
2025-01-27 21:15:40,481 - dqn - INFO - Finished episode 242; total score 105; avg score 183; epsilon 0.2972935866
2025-01-27 21:15:46,696 - dqn - INFO - Finished episode 243; total score 565; avg score 184; epsilon 0.2958071187
2025-01-27 21:15:53,014 - dqn - INFO - Finished episode 244; total score 345; avg score 185; epsilon 0.2943280831
2025-01-27 21:16:00,555 - dqn - INFO - Finished episode 245; total score 395; avg score 186; epsilon 0.2928564427
2025-01-27 21:16:04,694 - dqn - INFO - Finished episode 246; total score 180; avg score 186; epsilon 0.2913921605
2025-01-27 21:16:09,538 - dqn - INFO - Finished episode 247; total score 260; avg score 186; epsilon 0.2899351997
2025-01-27 21:16:14,133 - dqn - INFO - Finished episode 248; total score 240; avg score 186; epsilon 0.2884855237
2025-01-27 21:16:18,215 - dqn - INFO - Finished episode 249; total score 410; avg score 187; epsilon 0.2870430960
2025-01-27 21:16:22,252 - dqn - INFO - Finished episode 250; total score 155; avg score 187; epsilon 0.2856078806
